PLZ;PLZ;PLZ (Cleaned);PLZ (Removed Duplicates);1. 05. _Seminargesamtliste_ is copied from Ragbit and treated appropriately for correct data period;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
;Keine Angabe;;;;;;;;;;
